slug,fig_or_table_label,title,in_csv,needed_edits,artifact_path,svg_path,caption,meeting_note_verbatim,interpretation,proposed_edit_plan
fig01_annotation_difficulty,Fig. 1,Annotation-cleaning operations,yes,,paper-writing/figures/fig-archive/20260430_092942__fig01_annotation_difficulty.png,,"Annotation-difficulty examples for Sentinel-2 iceberg chips. The panels contrast the source image, preliminary annotation, cleaned binary target, and the main annotation decision introduced by the v4_clean workflow.",,,
fig02_dataset_workflow,Fig. 2,Dataset construction workflow,yes,,paper-writing/figures/fig-archive/20260505_150048__fig02_dataset_workflow.png,paper-writing/figures/fig-archive/20260505_150048__fig02_dataset_workflow.svg,"Dataset construction workflow. Two annotation sources merged through three deterministic cleaning operations to produce the binary v4_clean train / validation / test splits. Sources: Roboflow polygons (single-class iceberg, SAM3 smart-select + manual review, SZA >= 65) and Fisser (2024) annotation arrays (3-class ocean / iceberg / shadow numpy arrays distributed as Python pickle files, SZA < 65). Cleaning in order: (1) shadow merge - Fisser shadow pixels reclassified as iceberg so all chips share a binary target; (2) 40 m component filter - connected components below 16 px (40 m root length at the 10 m S2 GSD) dropped from both sources; (3) annotation-aware IC pixel mask - bright non-annotated pixels in training chips with IC fraction >= 15% zeroed prior to training. Validation and test chips are never masked. Output: stratified 65 / 15 / 25 split = 551 / 137 / 228 chips, test capped at 57 per SZA bin.",,,
fig03_method_schematic,Fig. 3,Base segmentation workflow schematic,yes,,paper-writing/figures/fig-archive/20260505_151035__fig03_method_schematic.png,paper-writing/figures/fig-archive/20260505_151035__fig03_method_schematic.svg,"Base segmentation workflow schematic. Two methods operate directly on B08 reflectance, while learned methods share a UNet++ probability map before direct segmentation, fixed-threshold binarization, Otsu binarization, or CRF refinement.",,,
fig04_evaluation_schematic,Fig. 4,Per-iceberg evaluation pipeline,yes,,paper-writing/figures/fig-archive/20260505_145113__fig04_evaluation_schematic.png,paper-writing/figures/fig-archive/20260505_145113__fig04_evaluation_schematic.svg,"Per-iceberg evaluation workflow. Ground-truth and predicted components are matched by Hungarian assignment on 1 - IoU, unmatched components are counted as false negatives or false positives, and matched pairs feed MAE, IoU, and MSE summaries.",,,
fig05_progression,Fig. 5,Two-phase experimental progression,yes,,paper-writing/figures/fig-archive/20260505_151537__fig05_progression.png,paper-writing/figures/fig-archive/20260505_151537__fig05_progression.svg,"Experimental progression visual. Phase A walks dataset cleaning and balancing choices with one reader-facing motivation per step; Phase B freezes the selected dataset and compares base segmentation workflows, with top-hat variants treated as a separate downstream post-processing result.",,,
mae_rootlen_vs_sza,Fig. 6,Per-pair MAE on root length by SZA bin,yes,,paper-writing/figures/fig-archive/20260505_152446__mae_rootlen_vs_sza.png,,"Per-pair root-length MAE by SZA bin for the method comparison. Lower values indicate smaller matched-iceberg size error, making this the most direct Fisser-comparable accuracy view.",,,
area_scatter_by_method,Fig. 7,Predicted vs reference iceberg area scatter,yes,x,paper-writing/figures/fig-archive/20260505_153322__area_scatter_by_method.png,,"Predicted versus reference iceberg area, per SZA bin, all six methods overlaid with cool tones for non-learning (TR, OT) and warm tones for learning (UNet, UNet_TR, UNet_OT, UNet_CRF). Solid black 1:1 line and shaded +-25 percent over- and under-estimation band. Inset table reports per-method n_matched / n_gt (= match rate) and MAE on iceberg root length (m) cross-referencing Table 1 / Table 3 / Fig. 6.","Make solid black line and heading
Make r2 instead of r
Each plot corresponds to one sza and compare TR OT UNet Unet_TR etc…. Lines on each plot compared to the 1:1
Cluster the learning v non learning
Each graph with 5 lines and 3 lines, lines different color and points same color matching the line of the prediction algorithm
Also have the 1:1 points
Table 4 ranges and 6 methods with R2
Two lines and shade what is inbetween for overestimate and underestimate
What does n mean","Figure overhaul. (1) Replace any dashed grey 1:1 with a solid black 1:1 line and add a clear panel heading. (2) Report R squared rather than Pearson r. (3) Restructure subplots to one panel per SZA bin (lt65, 65-70, 70-75, gt75) with all six methods (TR, OT, UNet, UNet_TR, UNet_OT, UNet_CRF) overlaid; each method gets its own regression line versus the 1:1. (4) Visually cluster learning vs non-learning methods using two color families (one palette for the four UNet variants, a contrasting palette for TR and OT). (5) Match each method's points and fit-line color so the legend is self-explanatory; the '5 lines and 3 lines' phrasing is the user enumerating the per-panel line set. (6) Always draw the 1:1 reference line and 1:1 reference points in every panel. (7) Use the same area ranges as Table 4 and report R squared per method. (8) Add two parallel reference lines (e.g., +/- a fixed percent) and shade between them so over-estimate vs under-estimate regions are visually distinct. (9) The label 'n' on the figure is unclear; define it (matched-pair count) in the caption.","1. Re-bin subplots: switch to one panel per SZA bin (lt65, 65-70, 70-75, gt75).
2. In each SZA panel plot all six methods (TR, OT, UNet, UNet_TR, UNet_OT, UNet_CRF) as colored points plus matching-color regression lines.
3. Choose a two-family palette: cool palette (e.g., greys / blues) for non-learning methods (TR, OT); warm palette (e.g., reds / oranges / purples) for the four learning methods. Same color for points and fit line per method.
4. Overlay a solid black 1:1 line and a parallel pair (e.g., +/- 25 percent) with a light-grey shaded fill between them so over- and under-estimation regions are visually distinct.
5. Replace the per-panel r with R squared per method; render as a small in-panel legend or annotation block.
6. Add a panel heading per SZA bin (e.g., 'SZA < 65 deg') and a figure-level title.
7. Update caption to define n as matched-pair count per panel and to list the area-range bins identical to Table 4.
8. Re-export PNG and SVG into paper-writing/figures/fig-archive with a fresh timestamp; promote into Overleaf and update the in-text reference."
bias_delta_by_area,Fig. 8,Bias delta by area bin,yes,,paper-writing/figures/fig-archive/20260505_152451__bias_delta_by_area.png,,"Per-pair bias (top) and Delta-Bias vs TR baseline (bottom) by reference area bin, one panel per SZA bin (mirroring Fig. 7 and Fig. 9). Sharey within row so cross-SZA comparison is on common scale. P10-P90 band shaded on bias row. Color palette matches Fig. 7 (UNet_TR pink). Area bin edges match Fisser (2025) Fig. 16.",,,
re_by_area_bin,Fig. 9,Relative error by area bin,yes,x,paper-writing/figures/fig-archive/20260505_152454__re_by_area_bin.png,,"Per-pair relative error in iceberg area as a function of reference area bin, one panel per SZA bin (mirroring Fig. 7) and one line per method. Faint shaded band shows the P10-P90 spread per method per bin; mean is the solid line. Method palette matches Fig. 7 (UNet_TR pink).",DO FIR EACH BIN,"Typo for 'DO FOR EACH BIN'. User wants the relative-error figure broken out one panel per bin instead of a single combined plot, so the per-bin behaviour is legible without color decoding. Most likely one panel per SZA bin (mirroring the Fig. 7 reorganization), or per area bin if SZA is the existing facet.","1. Restructure as one subplot per area bin (or per SZA bin if that is the intended facet after Fig. 7's reorganization), keeping bin edges aligned with Table 4.
2. In each subplot show the relative-error distribution per method (boxplot or violin). Method palette must match Fig. 7.
3. Add a horizontal zero-error reference line.
4. Update caption to list area-bin edges, methods, and n_pairs per bin.
5. Re-export PNG into paper-writing/figures/fig-archive with a fresh timestamp."
outline_examples,Fig. 10,Outline examples (GT vs UNet_CRF),yes,x,paper-writing/figures/fig-archive/20260505_152459__outline_examples.png,,"Per-SZA-bin chip examples with reference (cyan dashed) and UNet_CRF predicted (bright purple solid; matches UNet_CRF in Figs. 7-9) iceberg outlines, picked at three per-pair RE positions: worst-positive, near-zero, worst-negative. Each panel is cropped with a 20 px pad around the matched-pair iceberg bbox so outlines have breathing room and are not clipped. A 10 m scale bar (1 Sentinel-2 pixel) is drawn at the bottom-left of each panel. Only the highlighted iceberg is the example.",ZOOM IN EVEN MORE ON EACH ICEBERG OUTLINE. MAKE IT CLEAR THAT ONLY THE ONE EXAMPLE IS OUTLINED AS AN EXAMPLE (IN THE CAPTION),"Two requests. (a) Tighter crop on each panel so the example iceberg's outline detail is visible at print scale. (b) The caption must state explicitly that only the highlighted iceberg is the example pair, since chips often contain multiple icebergs and the figure's MAE / IoU value applies to the highlighted one only.","1. Re-crop each panel to a tighter bounding box around the matched example iceberg (e.g., 1.2x the iceberg bounding-box, not the full chip extent).
2. Optionally dim or grey out non-example icebergs visible in the panel background so the reader's eye lands on the highlighted pair.
3. Update the caption to state explicitly: 'In each panel, only the highlighted iceberg with cyan-dashed reference outline and magenta-solid prediction outline is the example pair; other icebergs visible in the chip are not annotated and not included in the panel MAE / IoU value.'
4. Re-export PNG into paper-writing/figures/fig-archive with a fresh timestamp."
table_phase_a_leaderboard,Table 1,Phase A lt65 dataset-progression leaderboard,yes,,paper-writing/figure_review/table_previews/table_phase_a_leaderboard.png,,"Phase A lt65 dataset-progression leaderboard from results.md. A0 is the best validation-IoU configuration, while later cleaning and balancing variants underperform on this split. Source: paper-writing/results.md.",,,
table_phase_a_preprocessing_nulls,Table 2,Phase A 2x2 preprocessing x nulls,yes,,paper-writing/figure_review/table_previews/table_phase_a_preprocessing_nulls.png,,"Phase A 2x2 from results.md. Preprocessing dominates the lt65 validation-IoU change, while null-chip injection has a smaller effect. Source: paper-writing/results.md.",,,
table_probability_calibration,Table 3,Probability calibration audit,yes,,paper-writing/figure_review/table_previews/table_probability_calibration.png,,"Probability calibration audit from results.md. A2 shifts most pixels into the 0.20-0.35 probability range, explaining the failure of fixed-threshold post-processing on that run. Source: paper-writing/results.md.",,,
table_base_mae_rootlen,Table 4,Base six-method root-length MAE,yes,x,paper-writing/figure_review/table_previews/table_base_mae_rootlen.png,,Base six-method root-length MAE table from results.md. UNet_CRF has the lowest MAE in three of four SZA bins; UNet_OT wins the lt65 bin. Source: paper-writing/results.md.,ONE OF EACH TABLE FOR THE IDEAL (SURROUNDED BY OCEAN V UNIDEAL SEA ICE AND MELANGE INCLUDED AND NOT CLEANED FOR)  -- OR WHAATEVER YOU CHOSE TO GO WITH AS YOUR IDEAL V UNIDEAL DATASETS,"Stratify the base-method tables by background type. Ideal = icebergs surrounded by open ocean; non-ideal = icebergs in sea ice / melange (i.e., chips where the annotation-aware IC mask was active and pixels were not cleaned out). Produce one table per stratum. The note is on Table 4 specifically but the user expects the same split applied to Tables 5, 6 (base IoU, base detection) and probably Tables 7, 8, 9 (+top-hat). User is open to whatever defensible 'ideal vs non-ideal' definition is chosen.","1. Define the ideal-vs-non-ideal split. Likely: ideal = chips where the annotation-aware IC mask is empty in the iceberg neighborhood; non-ideal = chips where the IC mask is active (sea ice / melange / mixed background not cleaned out).
2. Re-run the per-iceberg evaluation pipeline twice (ideal subset, non-ideal subset).
3. Regenerate Tables 4, 5, 6 (base MAE root-length, base IoU, base detection) twice each, labelled 'Table 4a Ideal' / 'Table 4b Non-ideal' and similarly for 5 and 6.
4. Repeat for Tables 7, 8, 9 (+top-hat variants) for parity.
5. Decide structural placement: paired tables in main text, or ideal as headline and non-ideal in supplementary.
6. Add the ideal-vs-non-ideal definition and per-stratum n_chips to each split table caption.
7. Add a sentence in the methods section describing the stratification rule."
table_base_iou,Table 5,Base six-method matched-pair IoU,yes,,paper-writing/figure_review/table_previews/table_base_iou.png,,"Base six-method matched-pair IoU table from results.md. UNet_CRF again leads in three of four SZA bins, with UNet_OT leading lt65. Source: paper-writing/results.md.",,,
table_base_detection,Table 6,Base six-method detection,yes,,paper-writing/figure_review/table_previews/table_base_detection.png,,Base six-method detection table from results.md. Match rate and precision disclose selection bias before comparing MAE across methods. Source: paper-writing/results.md.,,,
table_tophat_mae_rootlen,Table 7,+ top-hat root-length MAE,yes,,paper-writing/figure_review/table_previews/table_tophat_mae_rootlen.png,,Top-hat post-processing root-length MAE table from Overleaf Table 9. These +TH variants are the separate Segmentation -> top-hat -> segmentation++ sensitivity path. Source: paper-writing/overleaf/2026-04-17_template-plan-md/main.tex.,,,
table_tophat_iou,Table 8,+ top-hat IoU,yes,,paper-writing/figure_review/table_previews/table_tophat_iou.png,,Top-hat post-processing IoU table from Overleaf Table 10. It keeps the +TH sensitivity branch separate from the six base methods. Source: paper-writing/overleaf/2026-04-17_template-plan-md/main.tex.,,,
table_tophat_detection,Table 9,+ top-hat detection,yes,,paper-writing/figure_review/table_previews/table_tophat_detection.png,,Top-hat post-processing detection table from Overleaf Table 11. The +TH branch trades precision for additional recovered candidate matches. Source: paper-writing/overleaf/2026-04-17_template-plan-md/main.tex.,,,
