chip_stem,sza_bin,radius_px,n_recovered,total_recovered_m2,max_area_m2,median_area_m2,has_base_mask
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4864_c4608,sza_65_70,15,39,746500.0,280000.0,3600.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r4864_c4608,sza_65_70,20,40,770500.0,289400.0,3650.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5376_c4864,sza_65_70,5,0,0.0,0.0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5376_c4864,sza_65_70,10,0,0.0,0.0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5376_c4864,sza_65_70,15,0,0.0,0.0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5376_c4864,sza_65_70,20,0,0.0,0.0,0.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5632_c4352,sza_65_70,5,4,43300.0,37200.0,2150.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5632_c4352,sza_65_70,10,3,59300.0,48300.0,8200.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5632_c4352,sza_65_70,15,3,63700.0,51100.0,9800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r5632_c4352,sza_65_70,20,3,65400.0,51600.0,11000.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7168_c3072,sza_65_70,5,40,454200.0,190400.0,3750.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7168_c3072,sza_65_70,10,29,852500.0,578300.0,5700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7168_c3072,sza_65_70,15,21,1114400.0,995500.0,3500.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7168_c3072,sza_65_70,20,21,1227000.0,1080500.0,3300.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7424_c2048,sza_65_70,5,6,49200.0,14100.0,8150.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7424_c2048,sza_65_70,10,5,63300.0,31000.0,6700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7424_c2048,sza_65_70,15,5,64500.0,31600.0,6700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7424_c2048,sza_65_70,20,6,66800.0,32000.0,5850.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,sza_65_70,5,100,1419800.0,371000.0,3500.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,sza_65_70,10,62,2331900.0,1629200.0,2700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,sza_65_70,15,60,3047700.0,2735000.0,3050.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c1280,sza_65_70,20,45,3609500.0,3420400.0,2900.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c3328,sza_65_70,5,1,3600.0,3600.0,3600.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c3328,sza_65_70,10,1,3600.0,3600.0,3600.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c3328,sza_65_70,15,1,3600.0,3600.0,3600.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r7680_c3328,sza_65_70,20,1,3600.0,3600.0,3600.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1536,sza_65_70,5,7,76500.0,30700.0,4200.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1536,sza_65_70,10,8,113500.0,40300.0,5700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1536,sza_65_70,15,8,118400.0,42000.0,5800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8192_c1536,sza_65_70,20,9,121000.0,42200.0,5300.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c1536,sza_65_70,5,7,69700.0,24500.0,7300.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c1536,sza_65_70,10,4,115600.0,66900.0,23050.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c1536,sza_65_70,15,4,120500.0,70900.0,23450.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c1536,sza_65_70,20,4,121400.0,71200.0,23700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c4352,sza_65_70,5,6,73200.0,50600.0,2300.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c4352,sza_65_70,10,7,89500.0,56800.0,3000.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c4352,sza_65_70,15,7,94800.0,61000.0,3200.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r8448_c4352,sza_65_70,20,7,96100.0,61800.0,3300.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r9728_c0512,sza_65_70,5,17,285900.0,103500.0,8500.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r9728_c0512,sza_65_70,10,13,378900.0,194600.0,8700.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r9728_c0512,sza_65_70,15,13,437800.0,246700.0,8800.0,True
S2A_MSIL1C_20180918T141001_N0500_R053_T25WER_20230707T155818_r9728_c0512,sza_65_70,20,12,455700.0,265600.0,10950.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WVT_20230619T094106_r7424_c10240,sza_65_70,5,1,53200.0,53200.0,53200.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WVT_20230619T094106_r7424_c10240,sza_65_70,10,1,66000.0,66000.0,66000.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WVT_20230619T094106_r7424_c10240,sza_65_70,15,1,69100.0,69100.0,69100.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WVT_20230619T094106_r7424_c10240,sza_65_70,20,1,69700.0,69700.0,69700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r10496_c7936,sza_65_70,5,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r10496_c7936,sza_65_70,10,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r10496_c7936,sza_65_70,15,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r10496_c7936,sza_65_70,20,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2048_c4608,sza_65_70,5,4,118900.0,107900.0,4650.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2048_c4608,sza_65_70,10,3,150100.0,140500.0,5200.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2048_c4608,sza_65_70,15,3,158000.0,148200.0,5300.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2048_c4608,sza_65_70,20,3,162400.0,152600.0,5300.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2304_c2048,sza_65_70,5,33,639800.0,325900.0,4200.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2304_c2048,sza_65_70,10,27,901400.0,547400.0,3100.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2304_c2048,sza_65_70,15,23,971100.0,746300.0,2800.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r2304_c2048,sza_65_70,20,23,993900.0,764100.0,2700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3328_c1536,sza_65_70,5,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3328_c1536,sza_65_70,10,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3328_c1536,sza_65_70,15,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3328_c1536,sza_65_70,20,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3584_c0000,sza_65_70,5,4,12700.0,3800.0,3400.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3584_c0000,sza_65_70,10,4,15000.0,5500.0,3700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3584_c0000,sza_65_70,15,4,15000.0,5500.0,3700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r3584_c0000,sza_65_70,20,4,15000.0,5500.0,3700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4096_c0512,sza_65_70,5,1,6500.0,6500.0,6500.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4096_c0512,sza_65_70,10,1,6700.0,6700.0,6700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4096_c0512,sza_65_70,15,1,6900.0,6900.0,6900.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4096_c0512,sza_65_70,20,1,6900.0,6900.0,6900.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4864_c3584,sza_65_70,5,2,7300.0,4000.0,3650.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4864_c3584,sza_65_70,10,2,8900.0,5600.0,4450.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4864_c3584,sza_65_70,15,2,9200.0,5900.0,4600.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r4864_c3584,sza_65_70,20,2,9200.0,5900.0,4600.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r5376_c1280,sza_65_70,5,1,1600.0,1600.0,1600.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r5376_c1280,sza_65_70,10,1,1600.0,1600.0,1600.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r5376_c1280,sza_65_70,15,1,1700.0,1700.0,1700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r5376_c1280,sza_65_70,20,1,1700.0,1700.0,1700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r6400_c7424,sza_65_70,5,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r6400_c7424,sza_65_70,10,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r6400_c7424,sza_65_70,15,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r6400_c7424,sza_65_70,20,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c0512,sza_65_70,5,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c0512,sza_65_70,10,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c0512,sza_65_70,15,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c0512,sza_65_70,20,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c10496,sza_65_70,5,1,4200.0,4200.0,4200.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c10496,sza_65_70,10,2,14200.0,12400.0,7100.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c10496,sza_65_70,15,4,33300.0,15400.0,6750.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7424_c10496,sza_65_70,20,6,43200.0,19500.0,5850.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7680_c1280,sza_65_70,5,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7680_c1280,sza_65_70,10,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7680_c1280,sza_65_70,15,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r7680_c1280,sza_65_70,20,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r8448_c7168,sza_65_70,5,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r8448_c7168,sza_65_70,10,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r8448_c7168,sza_65_70,15,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r8448_c7168,sza_65_70,20,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r9728_c7936,sza_65_70,5,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r9728_c7936,sza_65_70,10,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r9728_c7936,sza_65_70,15,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230619T094106_r9728_c7936,sza_65_70,20,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r0000_c4864,sza_65_70,5,12,33900.0,4900.0,2600.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r0000_c4864,sza_65_70,10,12,35600.0,6400.0,2650.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r0000_c4864,sza_65_70,15,12,36200.0,6500.0,2700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r0000_c4864,sza_65_70,20,13,37900.0,6500.0,2700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2048_c3840,sza_65_70,5,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2048_c3840,sza_65_70,10,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2048_c3840,sza_65_70,15,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2048_c3840,sza_65_70,20,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2304_c2304,sza_65_70,5,9,71400.0,21000.0,6800.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2304_c2304,sza_65_70,10,5,108200.0,76100.0,10800.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2304_c2304,sza_65_70,15,5,111600.0,79400.0,10800.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r2304_c2304,sza_65_70,20,5,119400.0,87000.0,10900.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4096_c5120,sza_65_70,5,2,18300.0,12700.0,9150.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4096_c5120,sza_65_70,10,1,23500.0,23500.0,23500.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4096_c5120,sza_65_70,15,1,24100.0,24100.0,24100.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4096_c5120,sza_65_70,20,1,24200.0,24200.0,24200.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4608_c9216,sza_65_70,5,0,0.0,0.0,0.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4608_c9216,sza_65_70,10,1,1600.0,1600.0,1600.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4608_c9216,sza_65_70,15,1,1600.0,1600.0,1600.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r4608_c9216,sza_65_70,20,1,1600.0,1600.0,1600.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r5632_c10496,sza_65_70,5,1,1800.0,1800.0,1800.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r5632_c10496,sza_65_70,10,1,25700.0,25700.0,25700.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r5632_c10496,sza_65_70,15,1,45900.0,45900.0,45900.0,True
S2A_MSIL1C_20181001T142141_N0500_R096_T24WWT_20230808T044242_r5632_c10496,sza_65_70,20,2,55300.0,53600.0,27650.0,True
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r3584_c0512,sza_65_70,5,0,0.0,0.0,0.0,True
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r3584_c0512,sza_65_70,10,0,0.0,0.0,0.0,True
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r3584_c0512,sza_65_70,15,0,0.0,0.0,0.0,True
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r3584_c0512,sza_65_70,20,0,0.0,0.0,0.0,True
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r6144_c0512,sza_65_70,5,1,13000.0,13000.0,13000.0,True
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r6144_c0512,sza_65_70,10,1,14200.0,14200.0,14200.0,True
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r6144_c0512,sza_65_70,15,1,14200.0,14200.0,14200.0,True
S2A_MSIL1C_20211002T141021_N0500_R053_T24WXT_20230113T003232_r6144_c0512,sza_65_70,20,1,14200.0,14200.0,14200.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3584_c3584,sza_65_70,5,6,222500.0,192300.0,7600.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3584_c3584,sza_65_70,10,5,288400.0,258100.0,9600.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3584_c3584,sza_65_70,15,6,325800.0,288500.0,8050.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3584_c3584,sza_65_70,20,6,333000.0,294000.0,8100.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3840_c3840,sza_65_70,5,21,141500.0,28300.0,3600.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3840_c3840,sza_65_70,10,17,193400.0,59100.0,2600.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3840_c3840,sza_65_70,15,18,210400.0,67200.0,2600.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r3840_c3840,sza_65_70,20,15,246000.0,166800.0,2600.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4096_c5376,sza_65_70,5,74,952600.0,236000.0,3900.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4096_c5376,sza_65_70,10,40,1755200.0,539100.0,6400.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4096_c5376,sza_65_70,15,24,2240100.0,1473900.0,6100.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4096_c5376,sza_65_70,20,14,2588200.0,1605900.0,10800.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4608_c6656,sza_65_70,5,2,24600.0,13000.0,12300.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4608_c6656,sza_65_70,10,2,27700.0,13900.0,13850.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4608_c6656,sza_65_70,15,2,27900.0,14000.0,13950.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4608_c6656,sza_65_70,20,2,28500.0,14500.0,14250.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c5632,sza_65_70,5,3,28100.0,12700.0,8800.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c5632,sza_65_70,10,3,36100.0,17500.0,10500.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c5632,sza_65_70,15,3,36600.0,17900.0,10600.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c5632,sza_65_70,20,3,36800.0,17900.0,10700.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c8192,sza_65_70,5,1,14400.0,14400.0,14400.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c8192,sza_65_70,10,1,15800.0,15800.0,15800.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c8192,sza_65_70,15,1,16300.0,16300.0,16300.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r4864_c8192,sza_65_70,20,1,16300.0,16300.0,16300.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c4864,sza_65_70,5,0,0.0,0.0,0.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c4864,sza_65_70,10,0,0.0,0.0,0.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c4864,sza_65_70,15,0,0.0,0.0,0.0,True
S2B_MSIL1C_20170918T140959_N0500_R053_T25WER_20230825T143125_r5376_c4864,sza_65_70,20,0,0.0,0.0,0.0,True
